id,name,lat,lon,address,rating,rating_count,confidence,url,match,city,state,country,zip_code
G5Q93c4MhBtZZYHmUOcEkA,Sunshine Halal Restaurant,40.74489,-74.21815,"5 S Munn Ave, Newark, NJ 07106",2.3,3,,https://www.yelp.com/biz/sunshine-halal-restaurant-newark?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Newark,NJ,US,07106
rdiuG3Xypo-1cheW8NhAjA,Sabi,40.7765331,-74.1871726,"53 Bloomfield Ave, Bloomfield, NJ 07003",0,0,,https://www.yelp.com/biz/sabi-bloomfield?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Bloomfield,NJ,US,07003
S9YFaiYUdEfAor38H-tsdg,The pharaohs Kebab,40.7755242,-74.0306988,"3365 John F Kennedy Blvd, Union City, NJ 07087",0,0,,https://www.yelp.com/biz/the-pharaohs-kebab-union-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Union City,NJ,US,07087
y-gCu2X2FyXcRh1pEAQNyA,Sahara Mini Market Halal Deli & Grill,40.635725,-74.166327,"172 South Ave, Staten Island, NY 10303",0,0,,https://www.yelp.com/biz/sahara-mini-market-halal-deli-and-grill-staten-island?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Staten Island,NY,US,10303
67ZwQHTRHwQi6kxJUq613Q,Just Halal,40.658876,-74.266628,"126 Locust St, Roselle, NJ 07203",0,0,,https://www.yelp.com/biz/just-halal-roselle-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Roselle,NJ,US,07203
AknDsZ-8sGdMkq55XlBfPg,Zurqalnain Kebap,40.71679457370281,-74.04069331789097,"135 Montgomery St, Jersey City, NJ 07302",0,0,,https://www.yelp.com/biz/zurqalnain-kebap-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07302
v1_RoXV3XM_NmM2BDzC9Tg,SoHHfoodtruck,40.74523270995487,-74.0321802196678,"Hoboken, NJ 07030",0,0,,https://www.yelp.com/biz/sohhfoodtruck-hoboken?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Hoboken,NJ,US,07030
86TSDbjOPNcQoOGHaM0PXA,Special Halal,40.74523270995487,-74.0321802196678,"Hoboken, NJ 07030",0,0,,https://www.yelp.com/biz/special-halal-hoboken?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Hoboken,NJ,US,07030
IqN27T8kO2eG2lr0BBL-AQ,Brothers Halal Food,40.71728,-74.07077,"Jersey City, NJ 07304",0,0,,https://www.yelp.com/biz/brothers-halal-food-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07304
xourj6RfBE_0uK0ffiffgA,The Yard - Newark,40.73906667,-74.169148,"55 Park Pl, Newark, NJ 07102",4.6,204,,https://www.yelp.com/biz/the-yard-newark-newark?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Newark,NJ,US,07102
